"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:BP","positive regulation of immune system process","GO:0002684","1.1048961383238359e-8","7.956678544307206","1177","43","19","17816","CD247,CD2,CD3D,CD3E,IL12RB1,ITK,SH2D1A,SIRPG,SLA2,CCL4,CD5,CD6,CORO1A,ICOS,LCK,PTPN22,PYHIN1,SLAMF6,UBASH3A"
"GO:BP","regulation of T cell activation","GO:0050863","2.9645444246556923e-7","6.528042037227174","315","43","11","17816","CD2,CD3E,IL12RB1,SIRPG,CD5,CD6,CORO1A,ICOS,LCK,PTPN22,SIT1"
"GO:BP","leukocyte cell-cell adhesion","GO:0007159","6.468756945385868e-7","6.189179166568706","339","43","11","17816","CD3E,IL12RB1,SIRPG,CD5,CD6,CORO1A,ICOS,ITGAL,ITGB7,LCK,PTPN22"
"GO:BP","regulation of leukocyte activation","GO:0002694","0.0000012079778015325764","5.917941046476882","582","43","13","17816","CD2,CD3E,IL12RB1,SIRPG,SLA2,CD5,CD6,CORO1A,CST7,ICOS,LCK,PTPN22,SIT1"
"GO:BP","positive regulation of T cell activation","GO:0050870","0.0000021959350391224142","5.658380511475116","204","43","9","17816","CD3E,IL12RB1,SIRPG,CD5,CD6,CORO1A,ICOS,LCK,PTPN22"
"GO:BP","regulation of lymphocyte activation","GO:0051249","0.000002332315527469397","5.632212696379041","492","43","12","17816","CD2,CD3E,IL12RB1,SIRPG,SLA2,CD5,CD6,CORO1A,ICOS,LCK,PTPN22,SIT1"
"GO:BP","regulation of cell activation","GO:0050865","0.000002874373208844753","5.541456843710836","625","43","13","17816","CD2,CD3E,IL12RB1,SIRPG,SLA2,CD5,CD6,CORO1A,CST7,ICOS,LCK,PTPN22,SIT1"
"GO:BP","positive regulation of leukocyte cell-cell adhesion","GO:1903039","0.000004102608954441036","5.386939876409131","219","43","9","17816","CD3E,IL12RB1,SIRPG,CD5,CD6,CORO1A,ICOS,LCK,PTPN22"
"GO:BP","T cell differentiation","GO:0030217","0.000009491741693251581","5.022654089114823","241","43","9","17816","CD2,CD3D,CD3E,IL12RB1,ITK,LCK,PTPN22,RHOH,SLAMF6"
"GO:BP","interferon-gamma production","GO:0032609","0.00001550296710045186","4.8095851746017075","111","43","7","17816","CD2,CD3E,IL12RB1,ITK,CD96,PTPN22,SLAMF6"
"GO:BP","positive regulation of cell-cell adhesion","GO:0022409","0.000016067543779453612","4.794050508087908","256","43","9","17816","CD3E,IL12RB1,SIRPG,CD5,CD6,CORO1A,ICOS,LCK,PTPN22"
"GO:BP","regulation of immune response","GO:0050776","0.00003631245331191587","4.4399444086515585","1098","43","15","17816","CD247,CD3D,CD3E,IL12RB1,ITK,SH2D1A,SLA2,CD96,ITGAL,ITGB7,LCK,PTPN22,PYHIN1,SLAMF6,UBASH3A"
"GO:BP","signal transduction","GO:0007165","0.00004215944652254058","4.375105099260982","6194","43","33","17816","APOL3,CD247,CD2,CD3D,CD3E,CXCR3,CXCR6,IL12RB1,ITK,SH2D1A,SIRPG,SLA2,ARHGAP9,CCL4,CCR5,CD5,CD6,CORO1A,GPR174,ICOS,IL21R,IL2RB,ITGAL,ITGB7,LCK,P2RY10,PTPN22,PYHIN1,RHOH,SIT1,SLAMF1,UBASH3A,USP9Y"
"GO:BP","positive regulation of leukocyte activation","GO:0002696","0.00004360828705736022","4.360430972169655","390","43","10","17816","CD2,CD3E,IL12RB1,SIRPG,CD5,CD6,CORO1A,ICOS,LCK,PTPN22"
"GO:BP","defense response","GO:0006952","0.00005671836795564687","4.246276274264591","1726","43","18","17816","APOL3,CXCR3,CXCR6,IL12RB1,ITK,SH2D1A,CCL4,CCR5,CD6,CD96,CORO1A,CST7,ITGAL,PTPN22,PTPRCAP,PYHIN1,SLAMF1,SLAMF6"
"GO:BP","positive regulation of cell activation","GO:0050867","0.000060827812365204456","4.215897802389689","404","43","10","17816","CD2,CD3E,IL12RB1,SIRPG,CD5,CD6,CORO1A,ICOS,LCK,PTPN22"
"GO:BP","regulation of leukocyte cell-cell adhesion","GO:1903037","0.00007101042722893838","4.148677874443041","304","43","9","17816","CD3E,IL12RB1,SIRPG,CD5,CD6,CORO1A,ICOS,LCK,PTPN22"
"GO:BP","cell adhesion","GO:0007155","0.00015240724793691323","3.8169943790321277","1417","43","16","17816","CD2,CD3E,CXCR3,IL12RB1,SIRPG,CCL4,CD5,CD6,CD96,CORO1A,ICOS,ITGAL,ITGB7,LCK,PTPN22,SLAMF1"
"GO:BP","biological adhesion","GO:0022610","0.00016322210048963653","3.787221037549878","1424","43","16","17816","CD2,CD3E,CXCR3,IL12RB1,SIRPG,CCL4,CD5,CD6,CD96,CORO1A,ICOS,ITGAL,ITGB7,LCK,PTPN22,SLAMF1"
"GO:BP","cell surface receptor signaling pathway","GO:0007166","0.00019223383713795177","3.7161701651124117","3131","43","23","17816","CD247,CD2,CD3D,CD3E,CXCR3,CXCR6,IL12RB1,ITK,SLA2,CCL4,CCR5,CD6,CORO1A,IL21R,IL2RB,ITGAL,ITGB7,LCK,P2RY10,PTPN22,SLAMF1,UBASH3A,USP9Y"
"GO:BP","positive regulation of lymphocyte activation","GO:0051251","0.00020435510961806523","3.6896144988812467","344","43","9","17816","CD3E,IL12RB1,SIRPG,CD5,CD6,CORO1A,ICOS,LCK,PTPN22"
"GO:BP","regulation of interferon-gamma production","GO:0032649","0.0002507902865918477","3.6006892882609915","99","43","6","17816","CD2,CD3E,IL12RB1,CD96,PTPN22,SLAMF6"
"GO:BP","lymphocyte differentiation","GO:0030098","0.00027346578138801183","3.5630970089433376","356","43","9","17816","CD2,CD3D,CD3E,IL12RB1,ITK,LCK,PTPN22,RHOH,SLAMF6"
"GO:BP","signaling","GO:0023052","0.0003177907143268471","3.497858796793609","6662","43","33","17816","APOL3,CD247,CD2,CD3D,CD3E,CXCR3,CXCR6,IL12RB1,ITK,SH2D1A,SIRPG,SLA2,ARHGAP9,CCL4,CCR5,CD5,CD6,CORO1A,GPR174,ICOS,IL21R,IL2RB,ITGAL,ITGB7,LCK,P2RY10,PTPN22,PYHIN1,RHOH,SIT1,SLAMF1,UBASH3A,USP9Y"
"GO:BP","cell communication","GO:0007154","0.0003550444099787491","3.449717320740893","6689","43","33","17816","APOL3,CD247,CD2,CD3D,CD3E,CXCR3,CXCR6,IL12RB1,ITK,SH2D1A,SIRPG,SLA2,ARHGAP9,CCL4,CCR5,CD5,CD6,CORO1A,GPR174,ICOS,IL21R,IL2RB,ITGAL,ITGB7,LCK,P2RY10,PTPN22,PYHIN1,RHOH,SIT1,SLAMF1,UBASH3A,USP9Y"
"GO:BP","adaptive immune response","GO:0002250","0.0003667488224575161","3.435631271897833","626","43","11","17816","CD247,CD3D,CD3E,IL12RB1,ITK,SH2D1A,SLA2,CD6,SIT1,SLAMF1,SLAMF6"
"GO:BP","leukocyte migration","GO:0050900","0.00040517319508869335","3.392359293840218","495","43","10","17816","CD2,CXCR3,SIRPG,CCL4,CCR5,CORO1A,ITGAL,ITGB7,LCK,PTPN22"
